Datetime,Close,High,Low,Open,Volume
2024-10-21 13:30:00,16.510000228881836,17.5,14.109999656677246,14.25,0
2024-10-21 14:30:00,16.0,16.799999237060547,15.399999618530272,16.649999618530273,1875173
2024-10-21 15:30:00,16.360000610351562,16.5,15.750100135803224,15.949999809265137,696697
2024-10-21 16:30:00,16.969999313354492,17.174999237060547,16.209999084472656,16.325000762939453,762532
2024-10-21 17:30:00,19.25,19.5,16.79010009765625,16.9950008392334,2711143
2024-10-21 18:30:00,19.790000915527344,20.36000061035156,18.549999237060547,19.219999313354492,1450869
2024-10-21 19:30:00,20.0,20.0,18.5,19.844999313354492,1921784
2024-10-22 13:30:00,19.225000381469727,19.799999237060547,17.770000457763672,19.790000915527344,1489856
2024-10-22 14:30:00,19.13999938964844,19.40999984741211,18.600000381469727,19.290000915527344,840802
2024-10-22 15:30:00,18.899999618530273,19.25,18.719999313354492,19.13999938964844,550512
2024-10-22 16:30:00,18.5,19.010000228881836,18.280000686645508,18.899999618530273,607800
2024-10-22 17:30:00,18.59000015258789,19.0,18.200000762939453,18.450000762939453,676466
2024-10-22 18:30:00,18.80500030517578,18.940000534057617,18.170000076293945,18.545000076293945,1075934
2024-10-22 19:30:00,18.770000457763672,18.8700008392334,18.684999465942383,18.809999465942383,1020233
2024-10-23 13:30:00,18.010000228881836,18.200000762939453,17.329999923706055,18.0,3885036
2024-10-23 14:30:00,18.05500030517578,18.418899536132812,17.850000381469727,18.0,1283482
2024-10-23 15:30:00,18.09000015258789,18.25,18.0,18.020000457763672,709359
2024-10-23 16:30:00,17.834999084472656,18.137500762939453,17.604999542236328,18.09000015258789,527982
2024-10-23 17:30:00,17.809999465942383,17.979999542236328,17.670000076293945,17.834999084472656,467106
2024-10-23 18:30:00,17.479999542236328,17.84000015258789,17.100000381469727,17.799999237060547,784021
2024-10-23 19:30:00,17.309999465942383,17.61750030517578,17.135000228881836,17.479999542236328,849901
2024-10-24 13:30:00,16.899999618530273,17.200000762939453,16.709999084472656,16.799999237060547,1409758
2024-10-24 14:30:00,17.079999923706055,17.200000762939453,16.799999237060547,16.959999084472656,1880946
2024-10-24 15:30:00,16.969999313354492,17.139999389648438,16.81999969482422,17.100000381469727,340084
2024-10-24 16:30:00,16.81999969482422,17.020000457763672,16.719999313354492,16.959999084472656,483424
2024-10-24 17:30:00,16.8799991607666,16.940000534057617,16.799999237060547,16.799999237060547,380841
2024-10-24 18:30:00,17.30500030517578,17.344999313354492,16.825000762939453,16.895000457763672,2097018
2024-10-24 19:30:00,17.75,17.75,17.110000610351562,17.30500030517578,1077994
2024-10-25 13:30:00,18.225000381469727,18.3799991607666,17.270000457763672,17.270000457763672,1376914
2024-10-25 14:30:00,18.600000381469727,18.600000381469727,18.225000381469727,18.229999542236328,866711
2024-10-25 15:30:00,18.720199584960938,18.899999618530273,18.600000381469727,18.600000381469727,460774
2024-10-25 16:30:00,18.739999771118164,18.84000015258789,18.5,18.739999771118164,410570
2024-10-25 17:30:00,18.8799991607666,19.020000457763672,18.706300735473633,18.739999771118164,485514
2024-10-25 18:30:00,19.239999771118164,19.25,18.809999465942383,18.88999938964844,2349765
2024-10-25 19:30:00,19.559999465942383,19.579999923706055,19.135000228881836,19.239999771118164,677122
2024-10-28 13:30:00,21.559999465942383,21.799999237060547,20.0,20.0,4259362
2024-10-28 14:30:00,21.665000915527344,21.850000381469727,21.3799991607666,21.524999618530273,1178912
2024-10-28 15:30:00,22.325000762939453,22.5,21.59000015258789,21.674999237060547,1152017
2024-10-28 16:30:00,23.309999465942383,23.600000381469727,22.190000534057617,22.299999237060547,1607257
2024-10-28 17:30:00,23.450000762939453,23.88999938964844,22.59000015258789,23.309999465942383,2249307
2024-10-28 18:30:00,24.100000381469727,24.270000457763672,23.15049934387207,23.526899337768555,986973
2024-10-28 19:30:00,23.875,24.239999771118164,23.540000915527344,24.05500030517578,1385887
2024-10-29 13:30:00,23.899999618530273,24.5,22.520000457763672,22.899999618530273,2602943
2024-10-29 14:30:00,23.670000076293945,23.899999618530273,23.209999084472656,23.899999618530273,536913
2024-10-29 15:30:00,23.5,23.90999984741211,23.100000381469727,23.687999725341797,442682
2024-10-29 16:30:00,23.48500061035156,23.5,23.229999542236328,23.43400001525879,354849
2024-10-29 17:30:00,23.46500015258789,23.530000686645508,23.170000076293945,23.5,537084
2024-10-29 18:30:00,23.469999313354492,23.600000381469727,23.34000015258789,23.459999084472656,856032
2024-10-29 19:30:00,23.67250061035156,24.0,23.399999618530273,23.399999618530273,1707628
2024-10-30 13:30:00,22.579999923706055,23.1200008392334,21.270000457763672,23.049999237060547,1267067
2024-10-30 14:30:00,22.239900588989254,22.459999084472656,22.079999923706055,22.459999084472656,954822
2024-10-30 15:30:00,21.309999465942383,22.270000457763672,21.280000686645508,22.260000228881836,2300519
2024-10-30 16:30:00,21.075000762939453,21.649999618530273,21.049999237060547,21.309999465942383,4252496
2024-10-30 17:30:00,21.770000457763672,21.8700008392334,20.75,21.075000762939453,6765381
2024-10-30 18:30:00,21.80010032653809,22.229999542236328,21.469999313354492,21.799999237060547,4890697
2024-10-30 19:30:00,22.059999465942383,22.25,21.799999237060547,21.809999465942383,2475719
2024-10-31 13:30:00,22.040000915527344,22.600000381469727,20.0,22.600000381469727,1419038
2024-10-31 14:30:00,21.26499938964844,22.049999237060547,20.280000686645508,21.920000076293945,831273
2024-10-31 15:30:00,20.75,21.350000381469727,20.5,21.25,479688
